,Nombre,Barrio,Tipo_terraza
466,CHESS CAFE,ACACIAS             ,Acera
467,CAFETERIA BARRIO,ACACIAS             ,Acera
468,LA PODEROSSA,ACACIAS             ,Acera
469,SONAR BANGLA DONER KEBAB,ACACIAS             ,Acera
470,LA PEQUE?A GRANA,CHOPERA             ,Acera
471,PE?A ATLETICA LEGAZPI,CHOPERA             ,Acera
472,RESTAURANTE LA OFICINA,ATOCHA              ,Acera
473,EL VIRREY DE SAN TELMO I,ATOCHA              ,Acera
474,MIS TRADICIONES DEL NORTE,ACACIAS             ,Acera
475,TGB THE GOOD BURGUER,ACACIAS             ,Acera
476,LA ISLA TAPAS / CERVECER?A,MARROQUINA          ,Acera
477,BAR CASTEJ?N,PUEBLO NUEVO        ,Acera
478,FOSTER S HOLLYWOOD,VENTAS              ,Acera
479,BAR AVENIDA TRES,VISTA ALEGRE        ,Acera
480,PUB STROMBOLI,ROSAS               ,Acera
481,RESTAURANTE NIDO,ROSAS               ,Acera
482,LA TAGLIATELLA,CIUDAD JARDIN       ,Plaza peatonal
483,BIBEY,NUEVA ESPA?A        ,Acera
484,RTE. CONDUMIOS TABERNA,LOS JERONIMOS       ,Acera
485,TABERNA DEL OLIVO,LISTA               ,Acera
486,MONTE CASTELA,LISTA               ,Acera
487,LA CERVECERIA MANCILES,LISTA               ,Acera
488,BAR GALOPE,PUEBLO NUEVO        ,Acera
489,COMPACT BAR DE COPAS,QUINTANA            ,Acera
490,BAR BERROCAL,VENTAS              ,Acera
491,ANMARI,PUEBLO NUEVO        ,Acera
492,OSAKA RESTAURANTE,FUENTE DEL BERRO    ,Acera
493,JOSE LUIS                                         ,CASTELLANA          ,Acera
494,MAS Q MENOS,RECOLETOS           ,Acera
495,SANXENXO,LISTA               ,Acera
496,PINCHOS UDABERRI,LISTA               ,Acera
497,DALA'S,CASTILLA            ,Bulevar
498,SOLIDERE,CIUDAD JARDIN       ,Acera
499,BAR CAFETER?A ESPIG?ETE,PROSPERIDAD         ,Acera
500,46 FORTY SIX,HISPANOAMERICA      ,Acera
501,BULEVAR 54,LISTA               ,Acera
502,REGATES,CASTELLANA          ,Superficie en parcela privada
503,LLAO LLAO,SOL                 ,Calle peatonal
504,BAR OS PEREGRINOS,PALOS DE MOGUER     ,Acera
505,EL LAGAR RESTAURANTE CASUAL,ACACIAS             ,Acera
506,PULPERIA O'RIBEIRI?O,PALOS DE MOGUER     ,Acera
507,BAR GAMOS,IMPERIAL            ,Acera
508,CAFETERIA SOMOLINOS,ACACIAS             ,Acera
509,BAR PONTONES,IMPERIAL            ,Acera
510,EL HORREO DE VALMAYOR,BUENAVISTA          ,Acera
511,BAR TEIDE,PALOS DE MOGUER     ,Acera
512,CERVECERIA EL PASEO,DELICIAS            ,Acera
513,CAFETERIA IMPERIAL IV,IMPERIAL            ,Acera
514,BAR CAFETERIA YULI,DELICIAS            ,Acera
515,SABOR,IMPERIAL            ,Acera
516,CERVECERIA BAR RONDA,IMPERIAL            ,Acera
517,BAR ESTORIL,IMPERIAL            ,Acera
518,DUCADO BOLICEVAR,IMPERIAL            ,Bulevar
519,RESTAURANTE VILLA DEL PRADO,DELICIAS            ,Acera
520,PIRULO,IBIZA               ,Bulevar
521,BAR EL MERCADO,VINATEROS           ,Acera
522,SAINZ DE BARANDA 76,ESTRELLA            ,Acera
523,CAFETERIA RTE. LIRA,ESTRELLA            ,Acera
524,MAESTRO CHURRERO,SOL                 ,Acera
525,CA?AS Y TAPAS,EMBAJADORES         ,Acera
526,CERVECERIA LA SURE?A,ROSAS               ,Acera
527,CASA LILI,VINATEROS           ,Acera
528,TABERNA MIRANDA,PALACIO             ,Calle peatonal
529,BOMBAY BLUE,EMBAJADORES         ,Acera
530,QUING MA,PUEBLO NUEVO        ,Acera
531,GALAXI KEBAB,ADELFAS             ,Acera
532,OPTICA LAZARO,HISPANOAMERICA      ,Superficie en parcela privada
533,ANTIGUA CASA NARCISA,CASTILLA            ,Acera
534,RESTAURANTE LA CHAMARTINA- PEPA,NUEVA ESPA?A        ,Acera
535,VIPS,PROSPERIDAD         ,Acera
536,BK,PROSPERIDAD         ,Acera
537,CERVECERIA TAPERIA LA NI?A,CASTILLA            ,Acera
538,BAR BARCOS,AMPOSTA             ,Acera
539,EL CAMARON,PROSPERIDAD         ,Acera
540,CERVECERIA 43,NUEVA ESPA?A        ,Acera
541,BODEGA VIEJA,HISPANOAMERICA      ,Acera
542,RESTAURANTE CAZORLA,EL VISO             ,Acera
543,TAPAS 44,CASTELLANA          ,Acera
544,LA ORIGINAL,SAN ANDRES          ,Acera
545,R?TULO NO INFORMADO,CAMPAMENTO          ,Calle peatonal
546,EL PARAGUAS,RECOLETOS           ,Acera
547,CAFETERIA RESTAURANTE GONGORA,LISTA               ,Superficie en parcela privada
548,SIXTO,LISTA               ,Acera
549,BAR SPORT,CASCO H.VALLECAS    ,Acera
550,DOMINO?S PIZZA,ENSANCHE DE VALLECAS,Acera
551,EL JARDIN,ACACIAS             ,Acera
552,CAFE ZOCODOVER,ACACIAS             ,Acera
553,BAR RTE VILLA DE VIGO,PALOS DE MOGUER     ,Acera
554,CAFETERIA ALFE,PALOS DE MOGUER     ,Acera
555,BRED & RICOTA,PALOS DE MOGUER     ,Acera
556,LAS MANTELERAS,LEGAZPI             ,Plaza peatonal
557,CERVECERIA MOLSON,ACACIAS             ,Acera
558,EL REY DE LA FRUTA AUTOSERVICIO,ACACIAS             ,Acera
559,CAFETERIA MANZANARES,ACACIAS             ,Acera
560,VIENA CAPELLANES,LEGAZPI             ,Acera
561,RESTAURANTE LOS CASTA?OS,LEGAZPI             ,Acera
562,PANE'S AND PANE`S,ACACIAS             ,Acera
563,LA FLOR DE ASTURIAS,DELICIAS            ,Acera
564,LA TABERNA DEL TIO INDA,PALOS DE MOGUER     ,Acera
565,BAR ALCAZAR,ACACIAS             ,Acera
566,CERVECERIA XUKAR,PALOS DE MOGUER     ,Acera
567,EL RINC?N DE TITI,LEGAZPI             ,Acera
568,LUCAS CAFETERIA CERVECERIA,ACACIAS             ,Acera
569,FERROCARRIL,DELICIAS            ,Acera
570,ATENEA,IMPERIAL            ,Acera
571,BAR MELILLA,ACACIAS             ,Acera
572,A'TRAPALLADA,ACACIAS             ,Acera
573,BAR DAKOTA,IMPERIAL            ,Acera
574,FOSTER HOLLYWOOD STREET,LEGAZPI             ,Acera
575,EL HAYEDO,LEGAZPI             ,Acera
576,COLBY,IMPERIAL            ,Acera
577,BOUTIQUE SENY,DELICIAS            ,Acera
578,CAFETERIA PASTELERIA SELLA,PALOS DE MOGUER     ,Acera
579,BAR ARGANDA,ACACIAS             ,Acera
580,CAFE DELICIAS,PALOS DE MOGUER     ,Acera
581,NAZAR DONER KEBAB,DELICIAS            ,Acera
582,CASA MAXI,CHOPERA             ,Acera
583,BAR LOS ANGELES,IMPERIAL            ,Acera
584,ALBAS TAPAS,ACACIAS             ,Acera
585,BAR RESTAURANTE ASTURIAS,PALOS DE MOGUER     ,Acera
586,RESTAURANTE EL TRILLO,LEGAZPI             ,Bulevar
587,CAFE BAR MANOLO,SAN ANDRES          ,Acera
588,BAR CERVECERIA TAPALOCA,PALOS DE MOGUER     ,Plaza peatonal
589,BAR VI?AS,CHOPERA             ,Acera
590,MORRIGHA IRIS TAVERN,CHOPERA             ,Acera
591,WINGS4YOU,GOYA                ,Acera
592,BAR RESTAURANTE LEON                              ,CASTELLANA          ,Acera
593,EL RATITO BAR CERVECERIA,EL SALVADOR         ,Acera
594,A CANTINELLA                                      ,ROSAS               ,Acera
595,CHOF CHOF,LA PAZ              ,Acera
596,RASPUTIN,PALACIO             ,Calle peatonal
597,100 MONTADITOS,EMBAJADORES         ,Acera
598,CERVECERIA LAS HERAS BAR,PE?A GRANDE         ,Superficie en parcela privada
599,JOSE LUIS,CASTELLANA          ,Acera
600,BAR ANTIPODES,CORTES              ,Acera
601,CAFE SILMA BAR,GOYA                ,Acera
602,CASA DOMINGO,RECOLETOS           ,Acera
603,CERVECERIA J. VIZCAINO,CANILLEJAS          ,Acera
604,CERVECERIA MIRA MADRID TANZIM,ALUCHE              ,Calle peatonal
605,BAR CERVECRIA,LAS AGUILAS         ,Calle sin salida
606,LA TRATORIA DE ALUCHE,LAS AGUILAS         ,Acera
607,EL PALADAR                               ,FUENTE DEL BERRO    ,Acera
608,LAS VEGAS,LOS ANGELES         ,Calle peatonal
609,PASACALLES BAR RESTAURANTE,RECOLETOS           ,Acera
610,LA FABRICA DE LA YAYA,NI?O JESUS          ,Acera
611,LA PAUSA,EL VISO             ,Acera
612,IKURA SUSHI BAR,HISPANOAMERICA      ,Acera
613,BERNIS BAR,EL VISO             ,Plaza peatonal
614,DONER KEBAB BAR BIG CHIKEN,PALOMERAS BAJAS     ,Acera
615,BAR VEN Y VERAS,PALOMERAS BAJAS     ,Acera
616,BAR GUERRERO,PALOMERAS BAJAS     ,Acera
617,BAR CERVECERIA BELKIS,ENTREVIAS           ,Acera
618,BAR OASIS,LOS ANGELES         ,Otros
619,OMUT KEBAP CENTER,EL PILAR            ,Acera
620,YEDRA,NI?O JESUS          ,Acera
621,LAS FAROLAS,PUERTA DEL ANGEL    ,Acera
622,CERVECERIA LAS ROCAS,COMILLAS            ,Acera
623,BAR ALMENARA,EL PILAR            ,Acera
624,BAR LOS GRANAINOS,MIRASIERRA          ,Acera
625,MAYE'S BISTRO HAMBURGUESAS DE AUTOR,VALVERDE            ,Acera
626,RESTAURANTE CHINO LI MING                         ,GUINDALERA          ,Acera
627,MAKKILA,CASTELLANA          ,Acera
628,CASA SANTIAGO,PACIFICO            ,Acera
629,RESTAURANTE CERVECERIA CASA LEANDRO,GUINDALERA          ,Acera
630,LA TRAVIESA                                           ,CASTELLANA          ,Acera
631,CAFE BAR JM,LOS ANGELES         ,Otros
632,R?TULO NO INFORMADO,EMBAJADORES         ,Acera
633,RESTAURANTE,EL VISO             ,Bulevar
634,MAGERIT CAFETERIA,SOL                 ,Plaza peatonal
635,MARTINICA GASTROBAR,LISTA               ,Acera
636,DAKAR II,SAN ANDRES          ,Acera
637,TELEPIZZA,ROSAS               ,Acera
638,VILLALOBILLOS CERVECERIA RESTAURANTE,GUINDALERA          ,Acera
639,BAR 988,VALDEZARZA          ,Acera
640,EL MONTERO DE CAZORLA,VENTAS              ,Acera
641,ENTRE CASTILLAS,PUEBLO NUEVO        ,Acera
642,RESTAURANTE LOREDO,ARGUELLES           ,Acera
643,BAR LA PARROQUIA,IMPERIAL            ,Acera
644,BAR SANABRIA I,AMPOSTA             ,Acera
645,YO QUE SE,NUMANCIA            ,Acera
646,R?TULO NO INFORMADO,PALACIO             ,Acera
647,CAFE & TAPAS,SOL                 ,Acera
648,LA SURE?A,SOL                 ,Plaza peatonal
649,"LAS DELICIAS DEL JAMON,",ARGUELLES           ,Acera
650,PANISIMO,PORTAZGO            ,Acera
651,LA MU?OZA,ALUCHE              ,Calle peatonal
652,R?TULO NO INFORMADO,LAS AGUILAS         ,Acera
653,EL OLVIDO,NUEVA ESPA?A        ,Acera
654,SOPA,CIUDAD JARDIN       ,Acera
655,EL RINC?N DE TONI,LUCERO              ,Acera
656,ANTEP DONER KEBAP,HORCAJO             ,Acera
657,EL CALENTITO,SANTA EUGENIA       ,Otros
658,CARLOS RESTAURANTE,EL SALVADOR         ,Acera
659,EL FARO COCEDERO,SAN DIEGO           ,Plaza con bandas permanentes de circulaci? rodada
660,LA BODEGA VK,PALOMERAS BAJAS     ,Acera
661,DE PARTIDA,CASTELLANA          ,Acera
662,TABERNA DEL PUERTO,LISTA               ,Acera
663,CASA NEMESIO,CASTILLA            ,Acera
664,CAFETERIA LIMA,HISPANOAMERICA      ,Acera
665,BARVENTU,PE?A GRANDE         ,Superficie en parcela privada
666,CADILLAC SOLITARIO (L-60) LOCAL K-L-M-N,LA PAZ              ,Superficie en parcela privada
667,GRAN HOTEL VELAZQUEZ,RECOLETOS           ,Acera
668,EL GATO NEGRO,SAN CRISTOBAL       ,Plaza peatonal
669,BAR LOS ALAMOS,MEDIA LEGUA         ,Acera
670,CAFETERIA CANTALEJO,PALACIO             ,Acera
671,LA CARMEN,SOL                 ,Plaza peatonal
672,BAR LA RIBERA,EMBAJADORES         ,Acera
673,RESTAURANTE GIBRALTAR,EMBAJADORES         ,Acera
674,CERVECER?A LUSI,EMBAJADORES         ,Acera
675,BAR LA QUINTERIA,PALACIO             ,Plaza peatonal
676,SANTA MARTA,SOL                 ,Plaza peatonal
677,LA CANTINA DE BIRRA,UNIVERSIDAD         ,Calle peatonal
678,CERVECERIA  PLAZA MAYOR,SOL                 ,Plaza peatonal
679,MUSA LATINA,PALACIO             ,Plaza peatonal
680,RESTAURANTE VIVA LA VIDA,PALACIO             ,Plaza peatonal
681,TABERNA BAZTAN,UNIVERSIDAD         ,Plaza peatonal
682,R?TULO NO INFORMADO,HISPANOAMERICA      ,Otros
683,KARRAKELA,CASTILLA            ,Acera
684,CERVECERIA EL ENFRADOR,NUEVA ESPA?A        ,Acera
685,CAFE CENTRAL,CORTES              ,Plaza peatonal
686,CASA EDUARDO,PALACIO             ,Acera
687,CAFE ZARRA BAR,SOL                 ,Plaza peatonal
688,MESON 5 JOTAS,SOL                 ,Plaza peatonal
689,LA CATEDRAL,SOL                 ,Calle peatonal
690,RESTAURANTE VI?A P TABERNA,CORTES              ,Plaza peatonal
691,BAR RESTAURANTE,SOL                 ,Acera
692,PRIORITE,SOL                 ,Calle peatonal
693,MESON LAS REDES,ALUCHE              ,Acera
694,PUB LA PLAZA,OPA?EL              ,Superficie en parcela privada
695,GINOS-VIPS,LEGAZPI             ,Acera
696,CANTINA MOCTEZUMA,PALACIO             ,Calle peatonal
697,CERVECERIA 100 MONTADITOS,PALACIO             ,Acera
698,CAFETERIA VIANVI,SOL                 ,Acera
699,O?REILLYS,SOL                 ,Calle peatonal
700,BAR EL  ROCIO,SOL                 ,Calle peatonal
701,VIUDA DE VACAS,PALACIO             ,Acera
702,LA DOMA,CASTELLANA          ,Acera
703,BAR RESTAURANTE TENDIDO 7,GUINDALERA          ,Acera
704,TOMMY MEL'S,SOL                 ,Acera
705,BAR GASTRONOMICO KORGUI,PALACIO             ,Calle peatonal
706,PIZZA MALATESTA,SOL                 ,Calle peatonal
707,RESTAURANTE PADRON,UNIVERSIDAD         ,Acera
708,RESTAURANTE RODRIGUEZ,SOL                 ,Calle peatonal
709,RINC?N DE LA CAVA,SOL                 ,Acera
710,DON CALAMAR,SOL                 ,Plaza peatonal
711,BAR TINEO,SOL                 ,Plaza peatonal
712,CAFETERIA J.M.,LISTA               ,Acera
713,DUENDE,LISTA               ,Acera
714,BAR MONSERRAT,LOS ANGELES         ,Calle peatonal
715,BAR CAFETERIA ELISABETH,GUINDALERA          ,Acera
716,LA TIENTA,FUENTE DEL BERRO    ,Acera
717,EL RINCON DE JAEN II,GUINDALERA          ,Acera
718,EL BARRILITO,NUEVA ESPA?A        ,Acera
719,CRICKET CAFE BAR,NUEVA ESPA?A        ,Acera
720,CAFETERIA VALOR,LISTA               ,Acera
721,LA BRASA,PUERTA DEL ANGEL    ,Calle peatonal
722,CHURRERIA LA NUEVA,SANTA EUGENIA       ,Superficie en parcela privada
723,RESTAURANTE THONG,CASTELLANA          ,Acera
724,TANTEO,CASTELLANA          ,Acera
725,LA RIA,SOL                 ,Calle peatonal
726,BAR CAFETERIA ENRO,CASTILLA            ,Acera
727,LA TAPILLA SIXTINA,QUINTANA            ,Acera
728,BAR,CONCEPCION          ,Plaza peatonal
729,GASTROBAR  TUTIPLEN,CORRALEJOS          ,Acera
730,NIKO'S BAR,EL PILAR            ,Acera
731,CAFETERIA BLANCO Y NEGRO CERVECERIA,PALOMERAS SURESTE   ,Acera
732,GRAYMAR,LOS ANGELES         ,Acera
733,BAR-RESTAURANTE LA GLORIA,EL GOLOSO           ,Acera
734,CERVECERIA LA CONSERVA,FUENTE DEL BERRO    ,Acera
735,BAR SANTAMARIA,PALOS DE MOGUER     ,Acera
736,HOTEL RAFAEL ATOCHA,PALOS DE MOGUER     ,Acera
737,OL? T?,EL PILAR            ,Superficie en parcela privada
738,LA VENTA DE ESCAMPLERO,NI?O JESUS          ,Acera
739,SOBRE VINO,LISTA               ,Acera
740,BAISAKHI,EMBAJADORES         ,Acera
741,URBAN MADRID CAFE,SOL                 ,Plaza peatonal
742,LA BOMBILLA,CORTES              ,Plaza con bandas permanentes de circulaci? rodada
743,LA CASSETA,LISTA               ,Acera
744,MILFORD,CASTELLANA          ,Bulevar
745,NO SOLICITADO,RECOLETOS           ,Acera
746,RETAPAS,EMBAJADORES         ,Plaza peatonal
747,HOTEL INTUR PALACIO DE SAN MARTIN                 ,SOL                 ,Plaza peatonal
748,RESTAURANTE LOS ARRIEROS,PALACIO             ,Calle peatonal
749,PASTELERIA MANOLO CAFETERIA,JUSTICIA            ,Acera
750,LLAO LLAO,SOL                 ,Calle peatonal
751,RESTAURANTE DOMIN?,VALVERDE            ,Superficie en parcela privada
752,CASTILLO 100,ALUCHE              ,Acera
753,PIZZERIA SANDOS,UNIVERSIDAD         ,Plaza peatonal
754,CAFE MALABAR,UNIVERSIDAD         ,Plaza peatonal
755,PIZZERIA MARAVILLAS,UNIVERSIDAD         ,Plaza peatonal
756,BAR EL RINC?N DE TOMY,CASCO H.VALLECAS    ,Acera
757,HELADER?A,IMPERIAL            ,Acera
758,O'CLOCK,CASTELLANA          ,Bulevar
759,RESTAURANTE OBOI PARRILLA,ACACIAS             ,Acera
760,STARBUCKS,UNIVERSIDAD         ,Acera
761,HOTEL CATALONIA GRAN VIA Y RTE. LA PEDRERA,CORTES              ,Acera
762,STRAWBERRY FIELDS,UNIVERSIDAD         ,Acera
763,CAFE DUQUE DE ALBA,EMBAJADORES         ,Plaza peatonal
764,R?TULO NO INFORMADO,SOL                 ,Calle peatonal
765,ESPA?A CA?I,CORTES              ,Acera
766,FOREMAN,EL GOLOSO           ,Acera
767,CAFETERIA FRANCIS,LA PAZ              ,Acera
768,VILLA VERIN,UNIVERSIDAD         ,Acera
769,EL RINCON,UNIVERSIDAD         ,Acera
770,TABERNA LA LIRIO,UNIVERSIDAD         ,Acera
771,RODILLA,EMBAJADORES         ,Plaza peatonal
772,ABADIA ,SOL                 ,Acera
773,LA ESTRECHA DE LAVAPIES,EMBAJADORES         ,Acera
774,CAFETERIA VERDOY,JUSTICIA            ,Plaza peatonal
775,LA CHUEQUITA,JUSTICIA            ,Plaza peatonal
776,EL BOQUERON,SOL                 ,Acera
777,LAS BRAVAS,CORTES              ,Acera
778,MUSEO DEL JAMON,UNIVERSIDAD         ,Acera
779,FRIDAYS,UNIVERSIDAD         ,Acera
780,HOTEL SENATOR ESPA?A,UNIVERSIDAD         ,Acera
781,TABERNA LA MANCHA EN MADRID,EMBAJADORES         ,Acera
782,CAFE BAR RODA,CORTES              ,Acera
783,PERICO,CORTES              ,Plaza peatonal
784,RODILLA,PALACIO             ,Acera
785,LA TAQUERIA DE BIRRA,UNIVERSIDAD         ,Plaza peatonal
786,LAP CAFE,EMBAJADORES         ,Acera
787,THE CAVERN,PALACIO             ,Acera
788,EL MERCADO DE LA REINA,JUSTICIA            ,Acera
789,DI BOCCA RESTAURANTE ITALIANO,PALACIO             ,Acera
790,CAFFE DEL ARTE,UNIVERSIDAD         ,Acera
791,CERVECERIA LA ABUELA,CORTES              ,Acera
792,RESTAURANTE EL SOPORTAL,SOL                 ,Plaza peatonal
793,EL VENTORRILLO,PALACIO             ,Acera
794,CAFE Y TAPAS,CORTES              ,Plaza con bandas permanentes de circulaci? rodada
795,O'CACHO DO JOSE,CORTES              ,Plaza peatonal
796,CAFE Y TAPAS,SOL                 ,Calle peatonal
797,LA TERRAZA D'MYSTIC,JUSTICIA            ,Plaza peatonal
798,TABERNA  JOSE LUIS,JUSTICIA            ,Plaza peatonal
799,SHAPLA INDIAN RESTAURANTE,EMBAJADORES         ,Acera
800,FREDDO FREDDO (EXPOSITOR DE HELADOS),PALACIO             ,Plaza peatonal
801,LATA TAPA,SOL                 ,Calle peatonal
802,JINODE,CORTES              ,Acera
803,CAFE TABERNA ALABANDA,EMBAJADORES         ,Acera
804,LA CA?ER?A,ARAVACA             ,Acera
805,RESTAURANTE CRUZ CAFE,CASTELLANA          ,Acera
806,LA TABERNA DEL PINTOR,FUENTE DEL BERRO    ,Acera
807,LA LLAVE DE ORO CAFETERIA,RECOLETOS           ,Acera
808,LA TAGLIATELLA,LISTA               ,Acera
809,CAFETERIA FLORES,VISTA ALEGRE        ,Acera
810,BAR SALSERIA,ACACIAS             ,Acera
811,FOSTER'S HOLLYWOOD                                  ,PALACIO             ,Plaza con bandas permanentes de circulaci? rodada
812,LOS MANCHEGOS,CASCO H.VALLECAS    ,Acera
813,BURGOS CERVECERIA,ARCOS               ,Acera
814,UNUS BAR RESTAURANTE,EL SALVADOR         ,Acera
815,CAFE EUROPA,ACACIAS             ,Acera
816,CERVECERIA-RESTAURANTE LA ALEGRIA,MOSCARDO            ,Acera
817,CERVECERIA THE FAMILY CAFETERIA,ALMENDRALES         ,Acera
818,CAFETERIA DOS TORRES                              ,DELICIAS            ,Acera
819,EL CALLEJON,SAN JUAN BAUTISTA   ,Acera
820,BAR-RESTAURANTE PANDO,PALOS DE MOGUER     ,Acera
821,MUSEO DE LAS PATATAS,DELICIAS            ,Acera
822,CERVECERIA ECU CAFETERIA,CANILLEJAS          ,Acera
823,LA CHOZA DE DAVID,LEGAZPI             ,Bulevar
824,BODEGAS ROSELL,PALOS DE MOGUER     ,Acera
825,LA SANTI?A CERVECERIA CAFETERIA,ARCOS               ,Acera
826,BAR LAS TINAJAS,CHOPERA             ,Acera
827,CERVECER?A RESTAURANTE TIZON,CHOPERA             ,Acera
828,CAFETER?A CHURRER?A LEGAZPI,LEGAZPI             ,Acera
829,CERVECERIA RESTAURANTE CASA ANGEL,SIMANCAS            ,Acera
830,BAR LAS TRES RUEDAS,SIMANCAS            ,Acera
831,RESTAURANTE PLAZA DE VILLAVERDE BAJO,LOS ROSALES         ,Plaza peatonal
832,BAR KAIKU,PALOS DE MOGUER     ,Acera
833,VIPS,ACACIAS             ,Acera
834,CAFETERIA RESTAURANTE DAKAR,LOS ANGELES         ,Plaza peatonal
835,BAR TASIO,LOS ANGELES         ,Otros
836,NATALY,SAN ANDRES          ,Acera
837,3B,EL SALVADOR         ,Acera
838,CERVECERIA MUERDE LA TAPA,LOS ROSALES         ,Otros
839,"MAXILOALAMAN, S.L.                             ",LAS AGUILAS         ,Acera
840,CASA TASIO,SAN ANDRES          ,Calle peatonal
841,TABERNA VINOTECA LA TORRE,LOS ANGELES         ,Acera
842,GARZON,SIMANCAS            ,Calle peatonal
843,VOLLE KANNE,IMPERIAL            ,Acera
844,MESON GALLEGO,ARCOS               ,Plaza peatonal
845,LA ANDALUZA,IMPERIAL            ,Acera
846,PAPAS PIZZA,PALOS DE MOGUER     ,Acera
847,CAFETERIA REAL,ENTREVIAS           ,Acera
848,CERVECERIA CRUZ BLANCA,CASA DE CAMPO       ,Acera
849,JEAN LOUIS DAVID,ACACIAS             ,Acera
850,CERVECERIA 100 MONTADITOS,GOYA                ,Plaza peatonal
851,FRIDAYS ,EL VISO             ,Acera
852,EL MIRADOR DE SAN ISIDRO,ACACIAS             ,Acera
853,ELVIRREY DE SAN TELMO,LEGAZPI             ,Bulevar
854,RESTAURANTE CERVECERIA CABO FISTERRA,ACACIAS             ,Plaza peatonal
855,PASSAPAROLA,LAS AGUILAS         ,Acera
856,LE PETIT PRINCIPE,GOYA                ,Calle peatonal
857,TABERNA DAMA JUANA,PALOMERAS BAJAS     ,Acera
858,BURGER KING,ACACIAS             ,Acera
859,EUROBAR COPPOLA,ACACIAS             ,Acera
860,RESTAURANTE OVIEDO,ACACIAS             ,Acera
861,EL HORNO,SIMANCAS            ,Acera
862,LIZARRAN,GOYA                ,Acera
863,PANELA & CO,CASTELLANA          ,Acera
864,BAR-CAFETER?A-CHURRERIA,ORCASITAS           ,Acera
865,LAS  BRAVAS,SOL                 ,Calle peatonal
866,EN COPA DE BALON,SOL                 ,Plaza peatonal
867,RODILLA,JUSTICIA            ,Plaza peatonal
868,LA CARBONERIA,SOL                 ,Acera
869,100 MONTADITOS,EMBAJADORES         ,Acera
870,LLAOLLAO,UNIVERSIDAD         ,Plaza peatonal
871,PIZZA PITA,UNIVERSIDAD         ,Plaza peatonal
872,LA BOHEMIA,JUSTICIA            ,Plaza peatonal
873,O?FARO DE FINISTERRE RESTAURANTE,SOL                 ,Acera
874,LAVAPIES SHAPLA,EMBAJADORES         ,Acera
875,CAFE PEPE BOTELLA,UNIVERSIDAD         ,Plaza peatonal
876,A MI?A GAITA,SOL                 ,Calle peatonal
877,CHOCOLATERIA SAN GINES ANEXO,SOL                 ,Calle peatonal
878,RINCON DE REYES,UNIVERSIDAD         ,Calle peatonal
879,DON CARNARL,PALACIO             ,Acera
880,CAFETERIA ARMENIA,SOL                 ,Calle peatonal
881,MUSEO DEL JAMON,SOL                 ,Plaza peatonal
882,MESON VI?A T                                      ,SOL                 ,Calle peatonal
883,CARMEN / EXT. 2-3,EMBAJADORES         ,Calle peatonal
884,SANTANDER CAFETERIA,JUSTICIA            ,Acera
885,MAESTRO VILLA VINOTECA,PALACIO             ,Calle peatonal
886,FIVE GUYS,SOL                 ,Acera
887,BAR RESTAURANTE URUMEA II,PALACIO             ,Plaza con bandas permanentes de circulaci? rodada
888,LA BODEGUITA DE ORENSE,CUATRO CAMINOS      ,Acera
889,LA PAELLA REAL,PALACIO             ,Acera
890,TABERNA LA INQUILINA,EMBAJADORES         ,Acera
891,LE ROLLERIE,SOL                 ,Plaza peatonal
892,CAFE FIGUEROA,JUSTICIA            ,Calle peatonal
893,FERMENTERA,JUSTICIA            ,Acera
894,RESTAURANTE VEGETARIANO,PALACIO             ,Acera
895,EL RINCON GUAY,EMBAJADORES         ,Acera
896,TABERNA LA EXTREME?A. PRODUCTOS DE MI TIERRA,PALACIO             ,Acera
897,CAFETERIA OSS,EMBAJADORES         ,Acera
898,EL PALADAR DE LAVAPIES,EMBAJADORES         ,Acera
899,DANS LE NOIR,PALACIO             ,Plaza con bandas permanentes de circulaci? rodada
900,DONNER KEBAP,EMBAJADORES         ,Acera
901,COOB MOSS 2,JUSTICIA            ,Acera
902,CREPERIE BUB?,LISTA               ,Acera
903,TABERNA LA CASA DE LAS TOSTAS,EMBAJADORES         ,Acera
904,LA CAJITA DE NORI,UNIVERSIDAD         ,Plaza peatonal
905,MICRO TEATRO POR DINERO,UNIVERSIDAD         ,Calle peatonal
906,TAPA TAPA,CORTES              ,Plaza con bandas permanentes de circulaci? rodada
907,CASA GRANA,JUSTICIA            ,Acera
908,VIENA CAPELLANES,JUSTICIA            ,Acera
909,LA TRAVIATA                                       ,PALACIO             ,Acera
910,RESTAURANTE BEIRUT,EMBAJADORES         ,Acera
911,BAR RESTAURANTE LA MURALLA II,PALACIO             ,Plaza peatonal
912,BAR ESTEBAN,UNIVERSIDAD         ,Plaza peatonal
913,CERVECERIA RESTAURANTE DO?A JUANA,SOL                 ,Calle peatonal
914,CAFE BAR EL HECHIZADO,PALACIO             ,Calle peatonal
915,LA MORDIDA,PALACIO             ,Calle peatonal
916,RESTAURANTE LA CANELA,UNIVERSIDAD         ,Calle peatonal
917,LA COSTANILLA,PALACIO             ,Calle peatonal
918,INDIAN RESTAURANT SONALI,EMBAJADORES         ,Otros
919,CASA ANTONIO,PALACIO             ,Plaza peatonal
920,RESTAURANTE EL POZO REAL,SOL                 ,Calle peatonal
921,TIRADITO,UNIVERSIDAD         ,Acera
922,HOTEL VILLAREAL,CORTES              ,Plaza peatonal
923,DON JAMON,UNIVERSIDAD         ,Acera
