,Nombre,Barrio,Tipo_terraza
105,CAFETERIA BAR LINEA 123,LOS ROSALES         ,Acera
106,BAR GALICIA,SAN ANDRES          ,Acera
107,BAR ESTRELLA 2008,LOS ANGELES         ,Acera
108,BAR UNO,SAN ANDRES          ,Acera
109,KEBAB ARMENIA,BUTARQUE            ,Acera
110,CAFETERIA,BUTARQUE            ,Acera
111,CAFETERIA OBREGON,LOS ANGELES         ,Calle peatonal
112,EL CUERPO DEL DESEO,SAN ANDRES          ,Acera
113,EL RINCON DE LOLA,SAN CRISTOBAL       ,Plaza peatonal
114,BAR PINILLA,LOS ANGELES         ,Otros
115,BAR MINI PILAR,LOS ANGELES         ,Acera
116,BAR EL CIGARRAL TOLEDANO,SAN CRISTOBAL       ,Acera
117,BAR LAS MURALLAS,SAN ANDRES          ,Acera
118,BAR DULCI,SAN CRISTOBAL       ,Acera
119,L'ANDECHA,GUINDALERA          ,Acera
120,BAR PELAEZ,SAN FERMIN          ,Acera
121,O TOUXEIRO,ORCASITAS           ,Plaza peatonal
122,BAR LUQUE,SAN FERMIN          ,Acera
123,ASAY,SAN FERMIN          ,Calle peatonal
124,XALLAS,ZOFIO               ,Acera
125,CERVECERIA 100 MONTADITOS,MEDIA LEGUA         ,Acera
126,SIDRERIA DEL NORTE,BUTARQUE            ,Acera
127,BAR MONICO,LOS ANGELES         ,Acera
128,BAR LOS CAMPEONES - JAEN,LOS ANGELES         ,Acera
129,LA POSADA DE GREEN VILLAGE,SAN ANDRES          ,Acera
130,MADRETIERRA,SAN ANDRES          ,Calle peatonal
131,EL CASTIZO,SAN ANDRES          ,Acera
132,CAFETERIA BAR JUANJO Y JOSE,SAN CRISTOBAL       ,Acera
133,BAR RESTAURANTE VITA KR,BUTARQUE            ,Acera
134,BAR CONGO,SAN CRISTOBAL       ,Acera
135,DONDE LA LOLA,LOS ROSALES         ,Acera
136,BAR OLIVA,MOSCARDO            ,Acera
137,TABERNA LA ANDALUZA,MOSCARDO            ,Acera
138,A NOXA GALICIA,ZOFIO               ,Acera
139,CAFETERIA JUANITO,ORCASITAS           ,Acera
140,CAMBOY,MOSCARDO            ,Acera
141,BAR ASADOR MERINO,ORCASITAS           ,Calle peatonal
142,EL CHIRINGUITO,MOSCARDO            ,Calle peatonal
143,BAR JUSTO,SAN FERMIN          ,Acera
144,BAR CAFETERIA,ALMENDRALES         ,Plaza peatonal
145,BAR EL MANCHEGO (LOCAL 2 Y 3),MOSCARDO            ,Acera
146,TGB-THE GOOD BURGER,SIMANCAS            ,Acera
147,LA NI?A,RECOLETOS           ,Acera
148,JARRITUS,GUINDALERA          ,Acera
149,BAR CAFETERIA KRISTIN,SAN FERMIN          ,Plaza peatonal
150,BAR LA SELVA,SAN FERMIN          ,Acera
151,SALEM II,ZOFIO               ,Plaza peatonal
152,BAR LEONES,PRADOLONGO          ,Acera
153,CAFETERIA CUESTA CERVECERIA,PRADOLONGO          ,Acera
154,CAFETERIA LUMAR,MOSCARDO            ,Acera
155,CASA ANTONIO,ORCASUR             ,Acera
156,MUSEO DEL JAMON,ALMENDRALES         ,Acera
157,DONNER KEBAP USERA,MOSCARDO            ,Acera
158,R?TULO NO INFORMADO,MOSCARDO            ,Plaza peatonal
159,LOCAL PENDIENTE DE VERIFICACION,ORCASUR             ,Acera
160,"ALH?BEGA BAR, S.L.",ORCASITAS           ,Plaza peatonal
161,CAFETRIA ACUARIO,ORCASITAS           ,Acera
162,CERVECERIA JUSTI,MOSCARDO            ,Plaza peatonal
163,BAR RESTAURANTE,PALOMERAS SURESTE   ,Acera
164,TAPAS,CHOPERA             ,Acera
165,BAR CERVECERIA DIAZ,PALOS DE MOGUER     ,Acera
166,CERVECERIA 100 MONTADITOS,PALOS DE MOGUER     ,Acera
167,PRYCE CAFE,ACACIAS             ,Acera
168,RESTAURANTE ABADIA,PALOS DE MOGUER     ,Acera
169,EL KUBO LOCO,DELICIAS            ,Acera
170,COSTELLO R?O,CHOPERA             ,Acera
171,CASA VALENTIN,IMPERIAL            ,Acera
172,KEBAB TRES FUEGOS,LOS ANGELES         ,Otros
173,BAR CAFE LOS PINAZOS,SAN CRISTOBAL       ,Calle peatonal
174,SAL Y SAL DE TAPAS,CIUDAD JARDIN       ,Acera
175,CAFETERIA ENXEBRE,PROSPERIDAD         ,Acera
176,BAR CALVIN,GOYA                ,Plaza peatonal
177,LA CERVEZERIA,GUINDALERA          ,Acera
178,RESTAURANTE PIMENTON,ACACIAS             ,Plaza peatonal
179,MONTEPINOS,IMPERIAL            ,Acera
180,RODILLA,IMPERIAL            ,Acera
181,ARROCERIA IMPERIAL,IMPERIAL            ,Acera
182,LOS CHIQUITOS BAR DE TAPAS,PALOS DE MOGUER     ,Acera
183,AUTOESCUELA LARA,ACACIAS             ,Acera
184,CERVECERIA GUIMAR CAFETERIA,DELICIAS            ,Acera
185,TABERNA DEL FERROCARRIL,DELICIAS            ,Acera
186,LA SACRISTIA RESTAURANTE,JUSTICIA            ,Plaza con bandas permanentes de circulaci? rodada
187,AZUL Y ORO,MARROQUINA          ,Acera
188,BAR MARTINEZ,LOS ANGELES         ,Acera
189,ENTREAMIGOS,LOS ROSALES         ,Acera
190,BAR LA REJA,LOS ANGELES         ,Acera
191,CAFE HILO'S,BUTARQUE            ,Plaza peatonal
192,IBERICA BY EL ESQUINAZO,LAS AGUILAS         ,Acera
193,MONTON SANZ CAFETERIA RESTAURANTE,LAS AGUILAS         ,Acera
194,AUPA BAR,PUERTA DEL ANGEL    ,Acera
195,EL BARRIL                                         ,GOYA                ,Acera
196,BAHIA,LA PAZ              ,Acera
197,RESTAURANTE LA DEHESA IV,VALVERDE            ,Acera
198,TABERNA COCINARTE,MIRASIERRA          ,Acera
199,LA MURALLA,SANTA EUGENIA       ,Bulevar
200,LOS QUESOS DE L`AMELIE,SAN JUAN BAUTISTA   ,Acera
201,VINUBAR,CASA DE CAMPO       ,Acera
202,BAR JUANITO,PALOS DE MOGUER     ,Acera
203,CAFETERIA LA OCHAVA,PALOS DE MOGUER     ,Acera
204,BISTRO PREMIUM RESTAURANTE,PALOS DE MOGUER     ,Acera
205,BAR EL ANDEN,PALOS DE MOGUER     ,Acera
206,UVE Y MARI,AMPOSTA             ,Acera
207,EL RACO,EL SALVADOR         ,Acera
208,CERVEZAS UCEDA,ARCOS               ,Acera
209,EL DESVAN CAFE RESTAURANTE,ARCOS               ,Acera
210,BAR LAS CINCO LAGUNAS,ARCOS               ,Acera
211,EL RACIMO DE ORO,ROSAS               ,Otros
212,BAR PASCUALA,AMPOSTA             ,Calle peatonal
213,PASTELERIA CHARLOT CAFETERIA,CANILLEJAS          ,Acera
214,CERVECERIA DAN-CAR,CANILLEJAS          ,Acera
215,BAR EL RINCON DE MIGUELIN,CANILLEJAS          ,Acera
216,BAR EL CAFELITO CAFETERIA,CANILLEJAS          ,Acera
217,CAFETERIA VERTIGO,ROSAS               ,Acera
218,BAR LA CAMPANA,SIMANCAS            ,Acera
219,BAR UCLES,SIMANCAS            ,Acera
220,RESTAURANTE CHINO DINASTY,SIMANCAS            ,Acera
221,BAR MAQUEDA S,AMPOSTA             ,Acera
222,BLACK AND GREY,CANILLEJAS          ,Acera
223,BAR LOS MELLIZOS,CANILLEJAS          ,Acera
224,EL CHAVAL FREIDURIA,CANILLEJAS          ,Superficie en parcela privada
225,BAR LOS AMIGOS,REJAS               ,Acera
226,CEFETERIA CERVECERIA JUVINA,HELLIN              ,Acera
227,RESTAURANTE VICTORIA,ARCOS               ,Acera
228,SR,ARCOS               ,Acera
229,A TABERNA DO MEIGO,ROSAS               ,Acera
230,GAMBRINUS,SIMANCAS            ,Acera
231,BAR RESTAURANTE,SIMANCAS            ,Acera
232,CHURRERIA LOS MADRO?OS,SIMANCAS            ,Acera
233,CERVECERIA LORENZO,CANILLEJAS          ,Acera
234,BAYMA CAFETERIA,SIMANCAS            ,Acera
235,BAR LA ISLA,SIMANCAS            ,Acera
236,BAR EL PUCHERO,ROSAS               ,Acera
237,BAR LA BAH?A,ROSAS               ,Acera
238,MATSURI,EL SALVADOR         ,Acera
239,CASI BAR,CANILLEJAS          ,Acera
240,BAR RESTAURANTE DAKINI,SIMANCAS            ,Acera
241,LA ALCAZABA DE ALMERIA,ROSAS               ,Acera
242,CERVECERIA BAR SILA,ARCOS               ,Acera
243,LOS NI?OS DE LA VICTORIA BAR CAFE,ARCOS               ,Acera
244,CAFETERIA RESTAURANTE JULIOS,ARCOS               ,Acera
245,BAR JULI,ARCOS               ,Acera
246,CARNICERIA CAMI,SIMANCAS            ,Acera
247,BAR LOS ANGELES,CANILLEJAS          ,Plaza peatonal
248,SIDRERIA EL LLAGAR,CANILLEJAS          ,Plaza peatonal
249,BAR GUADIANA,AMPOSTA             ,Acera
250,EL REFUGIO,AMPOSTA             ,Acera
251,BAR GIL,CANILLEJAS          ,Acera
252,ALMADRABA,ROSAS               ,Acera
253,CAFETERIA EL ZARZAL,ROSAS               ,Acera
254,CERVECERIA BAR EL MOLINON,ARCOS               ,Acera
255,BAR COIMBRA,ARCOS               ,Plaza peatonal
256,BAR SUPERA,ARCOS               ,Calle peatonal
257,BAR QUEDATE CONMIGO,ROSAS               ,Acera
258,BAR CAMARERO,AMPOSTA             ,Calle peatonal
259,BAR LA MONTA?A,CANILLEJAS          ,Acera
260,BAR SEGOVIA,CANILLEJAS          ,Acera
261,CERVECERIA EL PIRATA,CANILLEJAS          ,Acera
262,LA ANDALUZA ,ROSAS               ,Acera
263,LA VILLA DE FOZ,ROSAS               ,Acera
264,BAR EL REFUGIO,ROSAS               ,Acera
265,CERVECERIA Z DE MADRIZ,ROSAS               ,Acera
266,RESTAURANTE CHINO MULAN,ROSAS               ,Acera
267,FRESH DONNER KEBAB,ROSAS               ,Acera
268,ESCUELA DE ENSE?ANZA,ROSAS               ,Acera
269,A LA DE TRES,ROSAS               ,Acera
270,LONGINOS HOUSE,PRADOLONGO          ,Acera
271,BAR LA PLAZA,ORCASITAS           ,Plaza peatonal
272,HNOS MAYORDOMO,ZOFIO               ,Acera
273,BAR,ORCASITAS           ,Acera
274,O FREIXO,MOSCARDO            ,Acera
275,EL RINCON DE LA ALCARRIA,SIMANCAS            ,Acera
276,RESTAURANTE CAFETERIA SHIRAY,SIMANCAS            ,Acera
277,MAKE DONNER,AMPOSTA             ,Acera
278,CERVECERIA HEVIA,SIMANCAS            ,Acera
279,RESTAURANTE LAZICA,SIMANCAS            ,Acera
280,BAR,AMPOSTA             ,Acera
281,SANKALY,SIMANCAS            ,Acera
282,TABERNA ENTRE CASTILLAS,EL SALVADOR         ,Acera
283,MAR & YO,EL SALVADOR         ,Acera
284,SANPAS,SIMANCAS            ,Acera
285,CAFETERIA ARUAL,CANILLEJAS          ,Acera
286,CAFETERIA LA FLOR DE LIS,CANILLEJAS          ,Acera
287,BAR SEOANE RESTAURANTE,CANILLEJAS          ,Acera
288,EL RINCON LUSO BAR,CANILLEJAS          ,Acera
289,CERVECERIA SANZ,HELLIN              ,Acera
290,LAS ESTRELLAS,HELLIN              ,Acera
291,CAFE BAR  TUPY II,HELLIN              ,Acera
292,BAR LA QUINTANA,AMPOSTA             ,Acera
293,CAFETERIA SHIRAY,AMPOSTA             ,Acera
294,BAR LAS MARAVILLAS,AMPOSTA             ,Acera
295,BAR BURGOS,ARCOS               ,Acera
296,LA TOSTA CAFETERIA,ARCOS               ,Acera
297,DELICIAS Y TORTAZOS,ARCOS               ,Acera
298,R?TULO NO INFORMADO,PALOMERAS SURESTE   ,Acera
299,ASADOR LEKEITIO,HISPANOAMERICA      ,Acera
300,GELATERIA LA ROMANA,EL VISO             ,Acera
301,CAFETERIA OLIVAR BURGER,SIMANCAS            ,Acera
302,PELAEZ CERVECERIA,SIMANCAS            ,Acera
303,BAR ROSZ,EL SALVADOR         ,Acera
304,ALMETRO,SIMANCAS            ,Acera
305,TABERNA LAS GEMELAS,SIMANCAS            ,Acera
306,FRUTAS Y VERDURAS MANOLIN,SIMANCAS            ,Acera
307,BAR LA TABERNA,SIMANCAS            ,Acera
308,CERVECERIA EL TERMINO,SIMANCAS            ,Acera
309,SAN JUDAS F.,SIMANCAS            ,Calle peatonal
310,CASA GARCIA,SIMANCAS            ,Acera
311,CAFETERIA-CERVECERIA  VALENTIN,ARCOS               ,Acera
312,CASA EUROPA CERVECERIA RESTAURANTE,ROSAS               ,Acera
313,MANHATTAN,SIMANCAS            ,Acera
314,CASA MANUELA,ROSAS               ,Acera
315,METROPOLI,ROSAS               ,Acera
316,PIAZZA ITALIA,ROSAS               ,Acera
317,CERVECER?A EL PE??N,ROSAS               ,Acera
318,LA TABERNA FANTASTICA,ROSAS               ,Acera
319,CAFETERIA  VAPORETTO,CANILLEJAS          ,Plaza peatonal
320,EL RINCON DEL JAMON,SIMANCAS            ,Acera
321,LA LUMBRE,SIMANCAS            ,Acera
322,CAFETERIA LA TRADICION,ROSAS               ,Acera
323,RESTAURANTE,SIMANCAS            ,Calle peatonal
324,TAT? G?TEAU,MIRASIERRA          ,Acera
325,CERVECER?A BAMBERG,VALVERDE            ,Acera
326,BAR GOYA,AEROPUERTO          ,Acera
327,COZINA,CORRALEJOS          ,Acera
328,CANTINA LA TRAVIESA,PALACIO             ,Acera
329,FARAON,LOS ANGELES         ,Superficie en parcela privada
330,BAR SIDNEY,GUINDALERA          ,Acera
331,LIZARRAN,GOYA                ,Plaza peatonal
332,OFICINA DESPACHO TECNICO,HISPANOAMERICA      ,Acera
333,FRESNO,GUINDALERA          ,Acera
334,EL RINCON DE DALI,GOYA                ,Acera
335,LA JARRA Y LA PIPA,GOYA                ,Acera
336,CAFETERIA CASTILLA,LISTA               ,Acera
337,MANDARIZ CAFE,GOYA                ,Plaza peatonal
338,CASA EGIDO,PALOS DE MOGUER     ,Acera
339,RESTAURANTE EL LUCA,CHOPERA             ,Acera
340,NEMRUT D?NER KEBAP,LEGAZPI             ,Acera
341,EL PRINCIPADO,PALOS DE MOGUER     ,Acera
342,PAQUITA BAR RESTAURANTE,DELICIAS            ,Acera
343,EL CHISCON,IMPERIAL            ,Acera
344,OBREOGAN,IMPERIAL            ,Acera
345,LA CRIBA CERVECERIA,ROSAS               ,Acera
346,CAFETERIA MER-K,PALOMERAS SURESTE   ,Calle peatonal
347,LA ORIENTAL EDELWEISS,ACACIAS             ,Bulevar
348,RESTAURANTE DOMINGUEZ BAR,DELICIAS            ,Acera
349,VEN Y VERAS,PALOS DE MOGUER     ,Acera
350,MAMA NO LO SABE,CASTELLANA          ,Otros
351,FIAT CAFE,EL VISO             ,Acera
352,BAR,PUERTA DEL ANGEL    ,Acera
353,"CAFETERIA, PANADERIA, PASTELERIA",PUERTA DEL ANGEL    ,Acera
354,CERVECERIA GAMBRINUS ALUCHE,LAS AGUILAS         ,Acera
355,RESTAURANTE-BAR.MEAT LAND,TIMON               ,Acera
356,LA TXASKA ETXEA,LEGAZPI             ,Acera
357,CAFETERIA PIRAMIDES,IMPERIAL            ,Acera
358,SMALL COFFE DRINK,DELICIAS            ,Acera
359,CERVECER?A 100 MONTADITOS,ACACIAS             ,Acera
360,CAF? Y T?,IMPERIAL            ,Acera
361,BURGER KING,PALOS DE MOGUER     ,Acera
362,BAR EL SOTANILLO,PALOS DE MOGUER     ,Acera
363,MESON VALLE DEL JERTE,ACACIAS             ,Acera
364,CERVECERIA RESTAURANTE LA PARADA,LOS ROSALES         ,Acera
365,CAFE HELADOS,HISPANOAMERICA      ,Acera
366,"BAR LA TUNA, CALAHORRA 23",CASCO H.VICALVARO   ,Acera
367,TABERNA LA ERA,VALDEBERNARDO,Acera
368,MEMPHIS COCKTAIL BAR,GUINDALERA          ,Acera
369,CAFETERA JARA,GUINDALERA          ,Acera
370,CAFETERIA EL TREBOL,GOYA                ,Acera
371,CAFETERIA D?TOMAS,VENTAS              ,Acera
372,CAFETERIA BARREDA                                 ,QUINTANA            ,Acera
373,RODILLA,CASTILLA            ,Acera
374,CERVECER?A MAVI,PALOS DE MOGUER     ,Acera
375,CERVECERIA HAVANA BLUES,PALOS DE MOGUER     ,Acera
376,BAR EL PESCADOR CERVECERIA,ACACIAS             ,Acera
377,CAFETERIA TRANSMONTANO,CHOPERA             ,Acera
378,ARROCERIA PUERTA DE ATOCHA,PALOS DE MOGUER     ,Acera
379,POR DEFINIR,IMPERIAL            ,Acera
380,LA ESQUINA DEL CALDERON,IMPERIAL            ,Acera
